ID,LID,Width,Color,type,LinkID
324,324,0.2,W,0,103
325,325,0.2,W,0,104
326,326,0.2,W,0,105
327,327,0.2,W,0,106
328,328,0.2,W,0,107
329,329,0.2,W,0,108
330,330,0.2,W,0,109
331,331,0.2,W,0,110
332,332,0.2,W,0,111
333,333,0.2,W,0,112
334,334,0.2,W,0,113
335,335,0.2,W,0,114
336,336,0.2,W,0,115
337,337,0.2,W,0,116
